subject	locus	est_counts	tpm
sample_23	HLA-DOA	470.000768	6.695608
sample_23	HLA-DOB	538.320103	14.862257
sample_23	HLA-DPA1	8837.014444	470.684196
sample_23	HLA-DPB1	5023.00821	242.295256
sample_23	HLA-DQA1	10913.432035	1097.575979
sample_23	HLA-DQB1	2837.1294540000004	56.393926
sample_23	HLA-DRA	26985.044106	783.415994
sample_23	HLA-DRB1	33293.387609	939.056112
sample_23	HLA-DRB5	8648.018698	228.248208
sample_23	HLA-E	5094.253042	94.72750199999999
sample_23	HLA-F	2466.247147	62.363685000000004
sample_23	HLA-G	173.72312599999998	4.041581
sample_24	HLA-A	46328.113663000004	953.3939290000001
sample_24	HLA-B	51826.568419	1136.292882
sample_24	HLA-C	26958.990597	720.415357
sample_24	HLA-DMA	1216.031559	52.216725000000004
sample_24	HLA-DMB	695.139774	19.220991
sample_24	HLA-DOA	432.011211	5.332323
sample_24	HLA-DOB	73.377475	2.663129
sample_24	HLA-DPA1	7147.185482	407.186918
sample_24	HLA-DPB1	7479.193928000001	419.00784500000003
sample_24	HLA-DQA1	8792.755570000001	922.706808
sample_24	HLA-DQB1	7303.2256959999995	160.874231
sample_24	HLA-DRA	15945.413811	510.206887
sample_24	HLA-DRB1	12749.673607	461.22344899999996
sample_24	HLA-DRB5	6399.401362	186.623777
sample_24	HLA-E	12832.204198	274.988656
sample_24	HLA-F	6296.781816000001	168.91010400000002
sample_24	HLA-G	62.326572	1.5875839999999999
sample_25	HLA-A	19740.530104	420.033814
sample_25	HLA-B	41553.601121	935.901204
sample_25	HLA-C	13140.36068	366.412641
sample_25	HLA-DMA	1253.029166	56.937561
sample_25	HLA-DMB	448.588863	12.740239
sample_25	HLA-DOA	392.009125	4.019261
sample_25	HLA-DOB	312.434877	9.995522
sample_25	HLA-DPA1	7607.177075	334.6095
sample_25	HLA-DPB1	6926.161223	393.058292
sample_25	HLA-DQA1	11644.599142	1246.7874219999999
sample_25	HLA-DQB1	5041.2626040000005	113.636167
sample_25	HLA-DRA	19932.463974	652.08042
sample_25	HLA-DRB1	17871.356180000002	576.904486
sample_25	HLA-DRB5	5973.37449	178.600245
sample_25	HLA-E	8034.415172	175.922614
sample_25	HLA-F	4748.4050800000005	132.08356
sample_25	HLA-G	65.676627	1.962603
sample_26	HLA-A	44598.003154000005	928.8231179999999
sample_26	HLA-B	47060.507897999996	1049.390698
sample_26	HLA-C	23569.788117	663.6112929999999
sample_26	HLA-DMA	1231.0014370000001	56.938797
sample_26	HLA-DMB	311.233764	8.783678
sample_26	HLA-DOA	418.000488	7.697628
sample_26	HLA-DOB	144.411153	5.719748
sample_26	HLA-DPA1	6585.007687	370.300891
sample_26	HLA-DPB1	5727.006685	318.48303899999996
sample_26	HLA-DQA1	10379.893001	561.398776
sample_26	HLA-DQB1	5714.5927520000005	127.522812
sample_26	HLA-DRA	27254.031811	882.67411
sample_26	HLA-DRB1	14562.702453	475.227599
sample_26	HLA-DRB5	6454.804384	192.62313
sample_26	HLA-E	13319.662428	286.838671
sample_26	HLA-F	2471.351756	67.581148
sample_26	HLA-G	94.758622	2.622855
sample_27	HLA-A	38301.235163	823.193342
